s,l,pnl,roi,pf,taken,skipped,min_cash,max_conc
90000,240000,29656955.926064674,2965.6955926064675,5.650888593049217,10387,13477,27.616346078692004,13
150000,200000,29637032.21872973,2963.703221872973,5.621115218251281,9039,14825,0.0,8
70000,280000,29612759.848532703,2961.2759848532705,5.692978210186689,10961,12903,46.33370506763458,17
30000,500000,29611867.969871115,2961.1867969871114,6.372536807691061,13104,10760,0.0,39
110000,220000,29584779.929637443,2958.4779929637443,5.50091085918067,9952,13912,108.22253246384207,11
50000,500000,29581294.98825113,2958.129498825113,5.970010400435115,11236,12628,0.0,25
50000,300000,29515364.318461593,2951.5364318461593,5.7961140574167285,12205,11659,0.0,24
200000,180000,29499443.908446237,2949.9443908446237,5.563835011749464,8360,15504,0.0,6
40000,500000,29489246.061114684,2948.9246061114686,6.07644995477486,12136,11728,0.0,29
10000,320000,29451817.257556118,2945.1817257556118,6.05192670745311,16838,7026,0.0,104
30000,380000,29429853.356296238,2942.985335629624,5.985811898239366,13699,10165,0.0,39
40000,380000,29420086.749996774,2942.008674999677,5.834672464324387,12626,11238,0.0,30
130000,200000,29319118.79648866,2931.9118796488665,5.545904588433748,9540,14324,0.0,9
20000,320000,29273791.114742503,2927.3791114742503,5.887178785166836,15266,8598,0.0,54
30000,320000,29255366.596400194,2925.5366596400195,6.021388394948299,13894,9970,0.0,37
80000,260000,29196384.365091637,2919.6384365091635,5.64124859228291,10587,13277,0.0,15
60000,360000,29196221.371090084,2919.6221371090082,5.717426334486866,11036,12828,24.753709860844538,21
60000,280000,29184136.10947313,2918.4136109473134,5.726249727466399,11561,12303,0.0,20
40000,320000,29169643.091363452,2916.964309136345,5.812552386089081,12944,10920,0.0,29
60000,320000,29167290.00749823,2916.729000749823,5.713762461935979,11294,12570,0.0,20
20000,380000,29139154.625846002,2913.9154625846004,6.02671161704045,14982,8882,0.0,55
190000,180000,29122227.5910922,2912.2227591092196,5.60949354753166,8410,15454,55.97888832422905,6
60000,340000,29115571.709818713,2911.5571709818714,5.801952656640296,11141,12723,0.0,20
70000,340000,29098104.259244394,2909.810425924439,5.723583494673089,10560,13304,6.034727013437077,18
80000,240000,29036394.619094007,2903.639461909401,5.522346341737091,10818,13046,163.5878720000619,15
